ID,Brand,Title,Category,Expired Date,Days Expired,Created Date,Code,Link,Description
3427011,"GhostBikes.com","29% Off FMF Factory Fatty Front Pipe - Beta RR 250/300 Enduro 2T 2013-18 - Now £252.66",Automotive,09/12/2025,0,10/09/2025,"","https://www.awin1.com/cread.php?awinmid=2695&awinaffid=1822416&ued=https%3A%2F%2Fwww.ghostbikes.com%2Fproducts%2F41275-fmf-factory-fatty-front-pipe-beta-rr-250300-enduro-2t-2013-18%3Fvariant%3D48861865378079","29% Off FMF Factory Fatty Front Pipe - Beta RR 250/300 Enduro 2T 2013-18 - now £252.66"
3427007,"GhostBikes.com","29% Off FMF Factory 4.1 RCT Slip-On Titanium/ Carbon Silencer - Blue - Kawasaki KXF450 2012-15 - Now £631.68",Automotive,09/12/2025,0,10/09/2025,"","https://www.awin1.com/cread.php?awinmid=2695&awinaffid=1822416&ued=https%3A%2F%2Fwww.ghostbikes.com%2Fproducts%2F41540-fmf-factory-4-1-rct-slip-on-titanium-carbon-silencer-blue-kawasaki-kxf450-2012-15%3Fvariant%3D48861928194335","29% Off FMF Factory 4.1 RCT Slip-On Titanium/ Carbon Silencer - Blue - Kawasaki KXF450 2012-15 - Now £631.68"
3427009,"GhostBikes.com","29% Off FMF Factory 4.1 RCT Silencer & MegaBomb System - Husqvarna FE501 2020-22 - Now £905.43",Automotive,09/12/2025,0,10/09/2025,"","https://www.awin1.com/cread.php?awinmid=2695&awinaffid=1822416&ued=https%3A%2F%2Fwww.ghostbikes.com%2Fproducts%2F41313-fmf-factory-4-1-rct-silencer-and-megabomb-system-husqvarna-fe501-2020-22%3Fvariant%3D48861869998367","29% Off FMF Factory 4.1 RCT Silencer & MegaBomb System - Husqvarna FE501 2020-22 - Now £905.43"
3427005,"GhostBikes.com","29% Off FMF Factory 4.1 RCT Slip-On Titanium/ Carbon Silencer - Blue - Suzuki RMZ450 2018-22 - £631.68",Automotive,09/12/2025,0,10/09/2025,"","https://www.awin1.com/cread.php?awinmid=2695&awinaffid=1822416&ued=https%3A%2F%2Fwww.ghostbikes.com%2Fproducts%2F41690-fmf-factory-4-1-rct-slip-on-titanium-carbon-silencer-blue-suzuki-rmz450-2018-22%3Fvariant%3D48861960667423","29% Off FMF Factory 4.1 RCT Slip-On Titanium/ Carbon Silencer - Blue - Suzuki RMZ450 2018-22 - £631.68"
3426993,"GhostBikes.com","32% Off FMF Factory 4.1 RCT Exhaust Silencer - Yamaha WRF250 2020-21 - Now. £677.46",Automotive,09/12/2025,0,10/09/2025,"","https://www.awin1.com/cread.php?awinmid=2695&awinaffid=1822416&ued=https%3A%2F%2Fwww.ghostbikes.com%2Fproducts%2F41405-fmf-factory-4-1-rct-exhaust-silencer-yamaha-wrf250-2020-21%3Fvariant%3D48861893919007","32% Off FMF Factory 4.1 RCT Exhaust Silencer - Yamaha WRF250 2020-21 - Now. £677.46"
3426809,"GhostBikes.com","Unleash the power of your ride! Grab Up To 32% OFF FMF Exhausts at GhostBikes",Automotive,09/12/2025,0,10/09/2025,"","https://www.awin1.com/cread.php?awinmid=2695&awinaffid=1822416&ued=https%3A%2F%2Fwww.ghostbikes.com%2Fcollections%2Ffmf%3Fsort%3Ddiscount_percentage%3Adesc","Unleash the power of your ride! Grab Up To 32% OFF FMF Exhausts at GhostBikes"
3584822,"Pure Beauty","25% Off ELEMIS",Health & Beauty,09/12/2025,0,25/11/2025,"","https://www.awin1.com/cread.php?awinmid=27882&awinaffid=1822416&ued=https%3A%2F%2Fwww.pure-beauty.co.uk%2Fproducts.php%3Fpage%3D1%26sort%3Dproduct_name-ASC%26siteid%3D8%26stock%3Dall%26start_price%3D0%26end_price%3D325%26brands%5B%5D%3D26%26query_string%3D","25% Off All Elemis Products at Pure Beauty"
3564350,"Box.co.uk","Shop cyber week deals at box.co.uk",Electronic Superstore,09/12/2025,0,01/12/2025,"","https://www.awin1.com/cread.php?awinmid=100685&awinaffid=1822416&ued=https%3A%2F%2Fbox.co.uk%2Fdeals","Shop cyber week deals at box.co.uk"
3576180,"XY London","12% Off When You Spend Over £45",Shoes,08/12/2025,0,20/11/2025,"BFSEASON12","https://www.awin1.com/cread.php?awinmid=18749&awinaffid=1822416&ued=https%3A%2F%2Fwww.xylondon.com%2F","12% off when you spend over £45 with code BFSEASON12"
3538540,"Stylevana UK","Mary&May Sale: 24% off with Free Glutathione Eye Cream",Health & Beauty,08/12/2025,1,06/11/2025,"AFF24MMCREAM","https://www.awin1.com/cread.php?awinmid=106621&awinaffid=1822416&ued=https%3A%2F%2Fwww.stylevana.com%2Fen_GB%2Fbrands%2Fmary-may.html","Member Exclusive: 24% off on Mary&May items + Free Glutathione Eye Cream | 20% off on rest items on £38+"
3538532,"Stylevana UK","APRILSKIN Sale: 24% off with Free Niacinamide Serum",Health & Beauty,08/12/2025,1,06/11/2025,"AFF24ASTXA","https://www.awin1.com/cread.php?awinmid=106621&awinaffid=1822416&ued=https%3A%2F%2Fwww.stylevana.com%2Fen_GB%2Fbrands%2Faprilskin.html","Member Exclusive: 24% off on APRILSKIN items + Free Niacinamide Serum on £39+ | 18% off on rest items on £29+"
3538522,"Stylevana UK","VT Sale: 24% off with Free Reedle Shot Gel Cream",Health & Beauty,08/12/2025,1,06/11/2025,"AFF24VTSHOT","https://www.awin1.com/cread.php?awinmid=106621&awinaffid=1822416&ued=https%3A%2F%2Fwww.stylevana.com%2Fen_GB%2Fbrands%2Fvt.html","Member Exclusive: 24% off on VT items + Free Reedle Shot Gel Cream | 17% off on rest items on £29+"
3538516,"Stylevana UK","HaruHaru Wonder Sale: 23% off with Free Eye Cream",Health & Beauty,08/12/2025,1,06/11/2025,"AFF23HHWBR","https://www.awin1.com/cread.php?awinmid=106621&awinaffid=1822416&ued=https%3A%2F%2Fwww.stylevana.com%2Fen_GB%2Fbrands%2Fharuharu-wonder.html","Member Exclusive: 23% off on HaruHaru Wonder items + Free Eye Cream | 18% off on rest items on £29+"
3538512,"Stylevana UK","Medicube Sale: 24% off with Free Vita C Capsule Cream",Health & Beauty,08/12/2025,1,06/11/2025,"AFF24MVITAC","https://www.awin1.com/cread.php?awinmid=106621&awinaffid=1822416&ued=https%3A%2F%2Fwww.stylevana.com%2Fen_GB%2Fbrands%2Fmedicube.html","Member Exclusive: 24% off on Medicube items + Free Vita C Capsule Cream | 18% off on rest items on $58+"
3598440,"Stylevana UK","Cyber Week! Extra 24% off on everything on £55+",Health & Beauty,08/12/2025,1,30/11/2025,"AFF25CYBER","https://www.awin1.com/cread.php?awinmid=106621&awinaffid=1822416&ued=https%3A%2F%2Fwww.stylevana.com%2Fen_GB%2F","Member exclusive: 24% off on £55+ | 20% off no min spend; Guest Checkout: 10% off  no min spend"
3576188,"XY London","£9 Off When You Spend Over £60",Shoes,08/12/2025,1,20/11/2025,"BFSEASON9","https://www.awin1.com/cread.php?awinmid=18749&awinaffid=1822416&ued=https%3A%2F%2Fwww.xylondon.com%2F","£9 off when you spend over £60 with code BFSEASON9"
3595366,"boohoo.com UK & IE","Shop Black Friday &  Get £5 to spend at Christmas",Womenswear,08/12/2025,1,01/12/2025,"","https://www.awin1.com/cread.php?awinmid=2319&awinaffid=1822416&ued=https%3A%2F%2Fwww.boohoo.com%2F","Shop Black Friday &  Get £5 to spend at Christmas"
3526690,"Belleek UK","25% Off Sitewide - Black November Sale",Home & Garden,08/12/2025,1,04/11/2025,"BLACK25","https://www.awin1.com/cread.php?awinmid=42298&awinaffid=1822416&campaign=Black+November+2025&ued=https%3A%2F%2Fwww.belleek.com%2F","25% Off Sitewide - Black November Sale"
3564568,"Laptop Outlet","Get extra £10 off at Laptopoutlet.co.uk. Minimum order values £100 - shop Laptops, Monitors, PCs and much more for the best price!",Electronic Superstore,08/12/2025,1,18/11/2025,"Exclusive10off","https://www.awin1.com/cread.php?awinmid=111534&awinaffid=1822416&ued=https%3A%2F%2Fwww.laptopoutlet.co.uk%2F","Get extra £10 off at Laptopoutlet.co.uk. Minimum order values £100 - shop Laptops, Monitors, PCs and much more for the best price!"
3580690,"Scribbler","15% off Cards",Gifts & Flowers,08/12/2025,1,24/11/2025,"15OFFCARDS","https://www.awin1.com/cread.php?awinmid=3965&awinaffid=1822416&ued=https%3A%2F%2Fwww.scribbler.com","Get 15% off all cards perfect for Christmas"
3580926,"Jura Watches","Black Friday | 20% off full priced items",Jewellery,08/12/2025,1,21/11/2025,"BF20","https://www.awin1.com/cread.php?awinmid=7153&awinaffid=1822416&ued=https%3A%2F%2Fwww.jurawatches.co.uk%2F","Black Friday | 20% off full priced items"
3580928,"Jura Watches","Black Friday | Save up to 50% off sale items",Jewellery,08/12/2025,1,21/11/2025,"","https://www.awin1.com/cread.php?awinmid=7153&awinaffid=1822416&ued=https%3A%2F%2Fwww.jurawatches.co.uk%2Fpages%2Fblack-friday-watch-sale","Black Friday | Save up to 50% off sale items"
3591682,"Lights.co.uk","Cyber Deals",Home & Garden,08/12/2025,1,01/12/2025,"","https://www.awin1.com/cread.php?awinmid=7574&awinaffid=1822416&ued=https%3A%2F%2Fwww.lights.co.uk%2Fc%2Fsale","Get up to 70% off* thousands of lines! Valid from 01/12/2025 to 07/12/2025. Don't miss this limited time offer!"
3596748,"The Jewel Hut","7.5% off orders over £70 (exclusions apply)",Jewellery,08/12/2025,1,01/12/2025,"TJH404","https://www.awin1.com/cread.php?awinmid=4277&awinaffid=1822416&ued=https%3A%2F%2Fwww.thejewelhut.co.uk%2F","7.5% off orders over £70 (exclusions apply)"
3596784,"T. H. Baker","£15 off orders over £250 (exclusions apply)",Jewellery,08/12/2025,1,01/12/2025,"THB290","https://www.awin1.com/cread.php?awinmid=24383&awinaffid=1822416&ued=https%3A%2F%2Fwww.thbaker.co.uk%2F","£15 off orders over £250 (exclusions apply)"
3599422,"Jura Watches","Save 25% off all orders this Black Friday",Jewellery,08/12/2025,1,28/11/2025,"BF25","https://www.awin1.com/cread.php?awinmid=7153&awinaffid=1822416&ued=https%3A%2F%2Fwww.jurawatches.co.uk%2F","Save 25% off all orders this Black Friday"
3558452,"Tower London UK","BLACK FRIDAY NOW LIVE! SECURE BIG DEALS ON DR MARTENS, BIRKENSTOCK, CLARKS & MANY MORE WITH UP TO 70% OFF!",Shoes,08/12/2025,1,20/11/2025,"","https://www.awin1.com/cread.php?awinmid=26945&awinaffid=1822416&ued=https%3A%2F%2Fwww.tower-london.com%2Fcollections%2Fblack-friday","BLACK FRIDAY NOW LIVE! SECURE BIG DEALS ON DR MARTENS, BIRKENSTOCK, CLARKS & MANY MORE WITH UP TO 70% OFF!"
3586368,"Cliphair UK","Black Friday Deal - Save Up to 30% off Hair Extensions",Health & Beauty,07/12/2025,1,25/11/2025,"","https://www.awin1.com/cread.php?awinmid=45609&awinaffid=1822416&ued=https%3A%2F%2Fwww.cliphair.co.uk%2Fcollections%2Fblack-friday-cyber-monday-extensions-deals","For Limited time only - Enjoy up to 30% off with our Black Friday Sale"
3603072,"Aosom UK","Cyber Week savings are here!",Home & Garden,07/12/2025,2,01/12/2025,"CYBER15","https://www.awin1.com/cread.php?awinmid=17151&awinaffid=1822416&ued=https%3A%2F%2Fwww.aosom.co.uk%2Factivity%2Fblack-friday","Cyber Week has officially landed, which means 12% OFF selected items across home, garden, fitness, kids and more!"
3598436,"Stylevana UK","Payday Offer: Spend £90 - £15 (Members Only)",Health & Beauty,06/12/2025,3,29/11/2025,"AFFPAYDAY","https://www.awin1.com/cread.php?awinmid=106621&awinaffid=1822416&ued=https%3A%2F%2Fwww.stylevana.com%2Fen_GB%2F","Member exclusive: Spend £90 - £15,  Guest Checkout: 10% off on £90+"
3591244,"Laptop Outlet","Cyber Week = silly savings. Save up to 60% on laptops, tablets, phones, monitors, gaming PCs, and PC components—all in one place. Limited stock, faster fingers win. Shop now: https://www.laptopoutlet.co.uk",Electronic Superstore,06/12/2025,3,29/11/2025,"","https://www.awin1.com/cread.php?awinmid=111534&awinaffid=1822416&ued=https%3A%2F%2Fwww.laptopoutlet.co.uk%2Fcyber-week.html","Cyber Week = silly savings. Save up to 60% on laptops, tablets, phones, monitors, gaming PCs, and PC components—all in one place. Limited stock, faster fingers win. Shop now: https://www.laptopoutlet."
3580988,"Perfume Price","Up to 70% Off - Perfume Price",Health & Beauty,05/12/2025,3,21/11/2025,"","https://www.awin1.com/cread.php?awinmid=21605&awinaffid=1822416&ued=https%3A%2F%2Fwww.perfumeprice.co.uk%2F","-"
3572384,"BLUETTI UK","New Launch: AC300(Free)+B500K",Electronic Accessories,05/12/2025,3,19/11/2025,"","https://www.awin1.com/cread.php?awinmid=32273&awinaffid=1822416&ued=https%3A%2F%2Fbluettipower.co.uk%2Fproducts%2Fb500k-free-ac300%3F_pos%3D3%26_psq%3Db500k%26_ss%3De%26_v%3D1.0%26variant%3D57385642131837","Early Bird Price £1999"
3572390,"BLUETTI UK","Extra 6% OFF AC300(free)+B500K",Electronic Accessories,05/12/2025,3,19/11/2025,"B500KAFF6","https://www.awin1.com/cread.php?awinmid=32273&awinaffid=1822416&ued=https%3A%2F%2Fbluettipower.co.uk%2Fproducts%2Fb500k-free-ac300%3F_pos%3D3%26_psq%3Db500k%26_ss%3De%26_v%3D1.0%26variant%3D57385642131837","Save extra 6% on B500K"
3572392,"BLUETTI UK","New Lauch: Elite 10",Electronic Accessories,05/12/2025,3,19/11/2025,"","https://www.awin1.com/cread.php?awinmid=32273&awinaffid=1822416&ued=https%3A%2F%2Fbluettipower.co.uk%2Fproducts%2Felite-10-portable-power-station%3Fvariant%3D57352028553597","Early Brid Price £129"
3563634,"Momcozy UK","2025 Momcozy Black Friday",Baby & Toddler,05/12/2025,3,17/11/2025,"AFBF20","https://www.awin1.com/cread.php?awinmid=82545&awinaffid=1822416&campaign=Black+Friday&ued=https%3A%2F%2Fuk.momcozy.com%2Fpages%2Fblack-friday","Save an extra 20% with the coupon: AFBF20"
3597860,"Momcozy UK","Get 30% off sitewide—Momcozy Black Friday code: BDBF30",Baby & Toddler,05/12/2025,3,28/11/2025,"BDBF30","https://www.awin1.com/cread.php?awinmid=82545&awinaffid=1822416&campaign=Black+Friday&ued=https%3A%2F%2Fuk.momcozy.com%2Fpages%2Fblack-friday","Save an extra 30% with the coupon: BDBF30"
3518986,"Stylevana UK","November Sale: Sitewide 20% off with a Free Serum",Health & Beauty,05/12/2025,4,30/10/2025,"AFF25NOV","https://www.awin1.com/cread.php?awinmid=106621&awinaffid=1822416&ued=https%3A%2F%2Fwww.stylevana.com%2Fen_GB%2F","Member exclusive: 20% off on £35+ | Extra Free Serum on £50+ | Guest Checkout: 10% off  on £35+"
3591694,"Lights.co.uk","Up to an extra 16% OFF",Home & Garden,05/12/2025,4,01/12/2025,"CYBER","https://www.awin1.com/cread.php?awinmid=7574&awinaffid=1822416&ued=https%3A%2F%2Fwww.lights.co.uk%2Fc%2Fsale","Cyber Deals at Lights.co.uk: enjoy extra savings on almost everything - even on reduced items! The more you spend, the more you save: 10% off orders over £89 & 13% off orders over £129 & 16% off order"
3554960,"AATU Dog and Cat Food","Up To 50% Off RRP On Your First Subscription Order Over £100",Pets & Pet Care,05/12/2025,4,13/11/2025,"","https://www.awin1.com/cread.php?awinmid=17135&awinaffid=1822416&ued=https%3A%2F%2Faatu.co.uk%2F","Save 50% Off RRP when you make your first subscription order over £100. Valid on new subscription orders placed at checkout only (excludes recurring orders). Excludes clearance stock and subscription "
3554964,"AATU Dog and Cat Food","25% Off Sitewide",Pets & Pet Care,05/12/2025,4,13/11/2025,"","https://www.awin1.com/cread.php?awinmid=17135&awinaffid=1822416&ued=https%3A%2F%2Faatu.co.uk%2F","Get 25% Off Sitewide. Offer runs from 12th November 2025 to 4th December 2025. Terms and conditions apply, please visit the site for more details."
3554992,"AATU Dog and Cat Food","30% Off Sitewide On Orders Over £100",Pets & Pet Care,05/12/2025,4,13/11/2025,"","https://www.awin1.com/cread.php?awinmid=17135&awinaffid=1822416&ued=https%3A%2F%2Faatu.co.uk%2F","Save 30% Sitewide when your order is over £100 RRP. Terms and conditions may apply. Visit the website for more details."
3555270,"Barkings Heads & Meowing Heads (Dog and Cat food)","25% Off Sitewide For Black Friday",Pets & Pet Care,05/12/2025,4,13/11/2025,"BLACKFRIDAY","https://www.awin1.com/cread.php?awinmid=15852&awinaffid=1822416&ued=https%3A%2F%2Fbarkingheads.co.uk","Get 25% off sitewide for Black Friday from 12th November 2025 to 4th December 2025 using code BLACKFRIDAY. Terms and conditions may apply. Visit the website for more details."
3599182,"AATU Dog and Cat Food","Your Loyalty Reward Points Are Worth Double For Black Friday",Pets & Pet Care,05/12/2025,4,28/11/2025,"","https://www.awin1.com/cread.php?awinmid=17135&awinaffid=1822416&ued=https%3A%2F%2Faatu.co.uk%2F","Half-Price Loyalty Rewards - Your loyalty points are worth double their value when redeemed from 28th November - 4th December."
3599232,"Barkings Heads & Meowing Heads (Dog and Cat food)","Your Loyalty Reward Points Are Worth Double For Black Friday",Pets & Pet Care,05/12/2025,4,28/11/2025,"","https://www.awin1.com/cread.php?awinmid=15852&awinaffid=1822416&ued=https%3A%2F%2Fbarkingheads.co.uk%2Fpages%2Fterms-conditions-of-sale","Half-Price Loyalty Rewards - Your loyalty points are worth double their value when redeemed from 28th November - 4th December."
3569884,"Gini London","Black Friday starts NOW",Clothing,04/12/2025,5,18/11/2025,"","https://www.awin1.com/cread.php?awinmid=115405&awinaffid=1822416&ued=https%3A%2F%2Fwww.ginilondon.com%2Fcollections%2Fblack-friday-offer%3F_kx%3Dlcc5ci4JcD4-ztmonQsTO8_324VadoA8Bge7ROl2SpVLIeSguGan80P-KUBOzlqu.Xv6YKw","Whether you’re getting ready for festive nights out or upgrading your everyday winter style, now’s the perfect time to treat yourself."
3598822,"Gini London","Shop Now: Up to 40% Off Everything!",Clothing,04/12/2025,5,28/11/2025,"","https://www.awin1.com/cread.php?awinmid=115405&awinaffid=1822416&campaign=Black+Friday&ued=https%3A%2F%2Fwww.ginilondon.com%2Fcollections%2Fblack-friday-offer%3F_kx%3Dlcc5ci4JcD4-ztmonQsTO8_324VadoA8Bge7ROl2SpVLIeSguGan80P-KUBOzlqu.Xv6YKw","Whether you’re getting ready for festive nights out or upgrading your everyday winter style, now’s the perfect time to treat yourself."
3595374,"boohoo.com UK & IE","Selected sale lines 50-70% off including: Coats & Jackets, Shoe & Boots, Knitwear, Winter Warmers,  Tops",Womenswear,04/12/2025,5,01/12/2025,"","https://www.awin1.com/cread.php?awinmid=2319&awinaffid=1822416&ued=https%3A%2F%2Fwww.boohoo.com%2F","Selected sale lines 50-70% off including: Coats & Jackets, Shoe & Boots, Knitwear, Winter Warmers,  Tops"
3528054,"Stormforce Gaming","Save £300 on the Lumina Elite AMD",Computers,04/12/2025,5,04/11/2025,"","https://www.awin1.com/cread.php?awinmid=24882&awinaffid=1822416&campaign=Black+Friday+Sale&ued=https%3A%2F%2Fwww.stormforcegaming.co.uk%2Fproduct%2Flumina-elite-amd-bf%2F","The Lumina Elite AMD BF delivers elite-tier gaming with style. Powered by the AMD Ryzen 5 7600X and RTX 5060 Ti 8GB GPU, it offers blistering performance across today’s top titles. With 32GB DDR5 RGB "
3557626,"Road Angel","Road Angel - Pure Sync - speed camera alert system. 50% off in our Black Friday Sale!",Automotive,04/12/2025,5,14/11/2025,"","https://www.awin1.com/cread.php?awinmid=37008&awinaffid=1822416&ued=https%3A%2F%2Fwww.roadangelgroup.com%2Fproducts%2Fpure-sync-smart-road-safety-speed-awareness-assistant-with-camera-alerts","Covers all camera types; mobile vans, average-speed, red-light & motorway cameras. Live “your speed vs limit” for average-speed roadworks & smart motorways. UK-validated database that’s updated daily"
3557664,"Road Angel","Road Angel - Halo Start 2. 1080p Full HD Compact Dash Cam. 40% off in our Black Friday Sale!",Automotive,04/12/2025,5,14/11/2025,"","https://www.awin1.com/cread.php?awinmid=37008&awinaffid=1822416&ued=https%3A%2F%2Fwww.roadangelgroup.com%2Fproducts%2Fnew-road-angel-halo-start-1080p-full-hd-compact-dash-cam-with-quick-release","40% off in our Black Friday Sale! The Halo 2 Start dash cam excels in delivering a heightened level of precision and clarity"
3557702,"Road Angel","Halo Spark Full HD 1080p Single Dash Camera With Parking Mode & Winter Mode. 41% off in our Black Friday Sale!",Automotive,04/12/2025,5,14/11/2025,"","https://www.awin1.com/cread.php?awinmid=37008&awinaffid=1822416&ued=https%3A%2F%2Fwww.roadangelgroup.com%2Fproducts%2Fnew-halo-spark-full-hd-1080p-single-dash-camera-with-parking-mode-winter-mode-usb-c-with-64gb-sd-card-hardwiring-kit-bundle","With 64GB SD Card & Hardwiring Kit Bundle. Accurate footage day or night, the Spark locks onto every detail in front of you—traffic, license plates, near misses, and more"
3557738,"Road Angel","Road Angel Halo Edge 4K Single Dash Cam with Parking Mode. 50% off in our Black Friday Sale!",Automotive,04/12/2025,5,14/11/2025,"","https://www.awin1.com/cread.php?awinmid=37008&awinaffid=1822416&ued=https%3A%2F%2Fwww.roadangelgroup.com%2Fproducts%2Fnew-road-angel-halo-ultima-4k-single-dash-cam-with-parking-mode-quick-release-mounting","The Halo dashcam redefines quality and reliability with its sleek, compact design. Capture every moment in stunning 2K HD at the front and sharp 1080p Full HD at the rear"
3558068,"Road Angel","Road Angel Halo Vision 2 1440P Mirror Dash Cam with 10"" LCD Touch Screen. 50% off in our Black Friday Sale!",Automotive,04/12/2025,5,14/11/2025,"","https://www.awin1.com/cread.php?awinmid=37008&awinaffid=1822416&ued=https%3A%2F%2Fwww.roadangelgroup.com%2Fproducts%2Froad-angel-halo-vision-rear-view-mirror-dash-cam-with-10-lcd-touch-screen","Halo Vision has a brilliant 10"" touch-sensitive glass screen that displays the 1080P rear camera footage, giving you a clear & crisp view of what is happening behind you"
